,id_,time,hasDroplet,hasMCP,phenotype,hasBoth,droplet_error,mcp_error,droplet_mean,mcp_mean,mcp_mean_z,mcp_error_z,droplet_mean_z,droplet_error_z,rel_time
0,1,0.136,True,True,1,True,383.15967080752813,86.4226875180495,620.0,732.6573983557902,-2.21267483244989,0.8799507933821437,-4.568415043560533,1.1532950752619076,7.5960254913679e-05
1,1,40.131,True,True,1,True,71.42536897582912,88.29739300502743,1636.25,745.5821743212502,-2.0810755129689062,0.8990389359521089,-1.5095437438624495,0.2149874649254707,0.022414419043682732
2,1,80.151,True,True,1,True,107.88381095728249,159.38629680652485,1911.75,751.4109948546931,-2.0217268002617956,1.6228620326097998,-0.6802999130463884,0.3247258972096286,0.044766841114605035
3,1,120.147,True,True,1,True,95.090746132313,122.45742708085831,1915.25,895.610946312474,-0.5534912554641402,1.2468544222584166,-0.6697650549416472,0.28621929073654,0.06710585843466023
4,1,160.165,True,True,1,True,138.23771795955932,166.8979094374538,1985.5,1042.091740587689,0.9379676986536879,1.6993448368825177,-0.4583154029821978,0.4160899266934852,0.08945716344301026
5,1,200.161,True,True,1,True,235.31592239653767,76.39159661140268,1929.75,782.3290863799115,-1.7069205850327727,0.7778148073894751,-0.6261206427934334,0.7082913863525221,0.11179618076306545
6,1,240.16,True,True,1,True,283.35666570596146,117.23237344410911,1849.5,910.0562841562236,-0.40640966310303933,1.1936532290860629,-0.8676698893378577,0.8528920760699727,0.13413687367697902
7,1,280.488,True,True,1,True,58.80121880822993,176.34050693349351,1973.75,960.9951070789194,0.11224647838084206,1.7954888170901808,-0.4936824266195434,0.17698928472301276,0.15666132338402936
8,1,320.134,True,True,1,True,117.86538932188702,47.25082436084128,1874.75,978.228141699533,0.28771223768882237,0.48110515396317544,-0.7916684130107958,0.354770043418904,0.17880485475393906
9,1,360.132,True,True,1,True,134.75286020464773,123.86194482029508,2042.5,989.8857827664186,0.40640966310304394,1.2611551404451606,-0.28674771384784037,0.40560064613257074,0.2011449891365665
10,1,400.141,True,True,1,True,186.7839661212921,91.10033137839214,1889.25,931.0907234725606,-0.1922382215947703,0.9275782919508264,-0.7480240008625821,0.5622121655224597,0.22349126736334138
11,1,440.139,True,True,1,True,132.20281136698014,94.05612688699372,1871.75,1034.7423581759567,0.8631367130664613,0.9576740304376228,-0.8006982913862883,0.3979251025140026,0.24583140174596882
12,1,480.129,True,True,1,True,272.41068872812855,145.97746009251287,2039.25,1079.0920796260652,1.3147030054031759,1.486334034653682,-0.2965300820879572,0.8199451291330486,0.26816706787830724
13,1,520.14,True,True,1,True,161.63410324969584,98.2930842339445,2285.25,940.720948701727,-0.09418382668736969,1.0008144844786635,0.4439199447024276,0.4865120978921834,0.29051446316765434
14,1,560.164,True,True,1,True,146.8286983755787,105.1437967121708,2315.0,995.7146032998614,0.4657583758101547,1.0705680417166188,0.5334662385927282,0.44194842945444957,0.3128691193637212
15,1,600.15,True,True,1,True,178.9830066421577,41.8290167556265,2322.25,976.2007258618138,0.26706920718200144,0.4259006232920172,0.5552884446668351,0.5387315937528834,0.33520255137091504
16,1,640.14,True,True,1,True,71.18286310622803,117.20497796567481,2200.5,1010.6667951030408,0.618000725797961,1.1933742899130788,0.18882588059476457,0.21425753208952375,0.3575382175032535
17,1,680.14,True,True,1,True,201.31960494033694,43.193752236345695,2003.25,920.1933633448198,-0.3031945105689335,0.4397962808271385,-0.4048886225938672,0.6059638490711471,0.37987946894845315
18,1,720.139,True,True,1,True,122.19213013392748,102.90466926283287,1907.25,833.0144823228925,-1.1908448223622432,1.0477693758556763,-0.6938447306096271,0.3677933578505723,0.40222016186236675
19,1,760.139,True,True,1,True,38.53137249912942,76.14964170416924,1863.0,856.0763374769488,-0.9560303503471532,0.7753512365529595,-0.8270354366481415,0.11597786910264503,0.42456141330756647
20,1,800.147,True,True,1,True,171.24714109535765,137.0544103085555,1934.25,871.7888102192729,-0.7960468639192887,1.3954800591262282,-0.6125758252301946,0.5154469520806276,0.44690713300305523
21,1,840.147,True,True,1,True,156.0320479901485,84.72146436112948,2282.0,899.9192049676274,-0.5096248156371452,0.862629037838043,0.43413757646231077,0.4696501386766832,0.46924838444825495
22,1,880.168,True,True,1,True,149.7027610522487,216.85986199672027,2386.75,1102.6607887395512,1.55467823504497,2.2080545409664785,0.7494308297399238,0.450599241592407,0.49160136505046337
23,1,910.269,True,True,1,True,246.84745626938647,109.01131411613113,2373.5,926.7824648174073,-0.23610466142176423,1.1099468796788539,0.709548866914832,0.7430008358040877,0.5084137152942623
24,1,950.2529999999999,True,True,1,True,301.0531514533605,62.83898993878007,2025.5,798.8018400613803,-1.5391959621648508,0.6398229520507978,-0.33791702464229784,0.9061577807275226,0.5307460302388838
25,1,990.25,True,True,1,True,240.04773830775133,134.71608702207033,2138.75,918.6728014665304,-0.31867678344904915,1.371671387002987,0.002960884032543974,0.7225339604103487,0.5530856060902252
26,1,1030.2559999999999,True,True,1,True,131.232617896619,105.03012044163646,2361.0,902.7069017444913,-0.48124064869026584,1.0694105965211713,0.6719243736836132,0.39500485950131653,0.5754302087231415
27,1,1070.2659999999998,True,True,1,True,84.38552403503024,125.12724545869202,2047.25,862.4120119698215,-0.8915208800133361,1.2740383581811492,-0.2724504064199772,0.2539970062295073,0.5977770454812026
28,1,1110.2559999999999,True,True,1,True,205.35396270829546,112.93748085060686,2016.75,755.4658265301316,-1.9804407392481524,1.1499228817238139,-0.36425416990415094,0.6181071023937766,0.620112711613541
